01234567  0 
31064257 31064275 6 
40731265 70431265 6 
30471265 70431265 6 
06471235 06431275 6 
06431257 06431275 6 
01475362 01435762 6 
07435216 01435276 6 
01475236 01435276 6 
14702365 14207365 6 
14205367 14207365 6 
16274305 16204375 6 
16204357 16204375 6 
27401365 21407365 6 
21405367 21407365 6 
21374065 21304765 6 
21304567 21304765 6 
20764315 70264315 6 
60274315 70264315 6 
04762315 04267315 6 
04265317 04267315 6 
07261354 01267354 6 
01762354 01267354 6 
01764253 01264753 6 
01274653 01264753 6 
27430516 20437516 6 
20436517 20437516 6 
20574316 20534716 6 
20534617 20534716 6 
30754216 30254716 6 
30254617 30254716 6 
37214506 30214576 6 
30214567 30214576 6 
47032516 74032516 6 
34072516 74032516 6 
04572316 04532716 6 
04532617 04532716 6 
04736215 04236715 6 
04276315 04236715 6 
04276531 04236571 6 
14702536 14207536 6 
14206537 14207536 6 
13274506 13204576 6 
13204567 13204576 6 
27401536 21407536 6 
21406537 21407536 6 
21574036 21504736 6 
21504637 21504736 6 
17054236 71054236 6 
51074236 71054236 6 
07451236 01457236 6 
01456237 01457236 6 
07251634 01257634 6 
01752634 01257634 6 
07254613 01254673 6 
72130564 27130564 7 
26130574 27130564 7 
20134765 20134567 7 
20134576 20134567 7 
70521364 20571364 7 
20561374 20571364 7 
20537461 20531467 7 
20531476 20531467 7 
70351264 30751264 7 
30157264 30751264 7 
30257461 30251467 7 
30251476 30251467 7 
73261504 37261504 7 
31267504 37261504 7 
30267541 30261547 7 
30261745 30261547 7 
61207534 67201534 7 
63201574 67201534 7 
26107534 26701534 7 
26501734 26701534 7 
76051234 06751234 7 
06157234 06751234 7 
06257431 06251437 7 
06251473 06251437 7 
70236541 07236541 7 
76032541 06732541 7 
06532741 06732541 7 
76031245 06731245 7 
06137245 06731245 7 
76201345 06271345 7 
06241375 06271345 7 
12530764 12730564 7 
12034765 12034567 7 
12034576 12034567 7 
76012534 16072534 7 
16052734 16072534 7 
16037542 16032547 7 
16032745 16032547 7 
71352064 31752064 7 
31257064 31752064 7 
31057462 31052467 7 
31052476 31052467 7 
73062514 37062514 7 
32067514 37062514 7 
31067542 31062547 7 
31062745 31062547 7 
12507364 17502364 7 
16502374 17502364 7 
51207364 51702364 7 
51302764 51702364 7 
70562314 07562314 7 
02567314 07562314 7 
01567342 01562347 7 
01562743 01562347 7 
70531462 07531462 7 
06531472 07531462 7 
71035462 01735462 7 
70532416 07532416 7 
02537416 07532416 7 
71502436 01572436 7 
01542736 01572436 7 
74130265 14730265 7 
14230765 14730265 7 
14035762 14035267 7 
14035276 14035267 7 
76014235 16074235 7 
16024735 16074235 7 
16037254 16034257 7 
16034752 16034257 7 
71324065 31724065 7 
31427065 31724065 7 
31027564 31024567 7 
31024576 31024567 7 
73064215 37064215 7 
34067215 37064215 7 
31067254 31064257 7 
31064752 31064257 7 
40137265 40731265 7 
40231765 40731265 7 
30421765 30471265 7 
30461275 30471265 7 
76401235 06471235 7 
06421735 06471235 7 
06437251 06431257 7 
06431752 06431257 7 
71405362 01475362 7 
01465372 01475362 7 
70435216 07435216 7 
05437216 07435216 7 
71405236 01475236 7 
01425736 01475236 7 
74102365 14702365 7 
14302765 14702365 7 
14205763 14205367 7 
14205376 14205367 7 
76214305 16274305 7 
16234705 16274305 7 
16207354 16204357 7 
16204753 16204357 7 
72401365 27401365 7 
26401375 27401365 7 
21405763 21405367 7 
21405376 21405367 7 
21364075 21374065 7 
21307564 21304567 7 
21304576 21304567 7 
20467315 20764315 7 
20364715 20764315 7 
60234715 60274315 7 
60214375 60274315 7 
74062315 04762315 7 
04362715 04762315 7 
04265713 04265317 7 
04265371 04265317 7 
70261354 07261354 7 
05261374 07261354 7 
71062354 01762354 7 
01362754 01762354 7 
71064253 01764253 7 
01467253 01764253 7 
71204653 01274653 7 
72430516 27430516 7 
21430576 27430516 7 
20436715 20436517 7 
20436571 20436517 7 
70524316 20574316 7 
20514376 20574316 7 
20537614 20534617 7 
20534671 20534617 7 
70354216 30754216 7 
30457216 30754216 7 
30257614 30254617 7 
30254671 30254617 7 
73214506 37214506 7 
34217506 37214506 7 
30217564 30214567 7 
30214765 30214567 7 
42037516 47032516 7 
41032576 47032516 7 
34052716 34072516 7 
34012576 34072516 7 
74502316 04572316 7 
04512376 04572316 7 
04537612 04532617 7 
04532671 04532617 7 
74036215 04736215 7 
04637215 04736215 7 
74206315 04276315 7 
04216375 04276315 7 
74206531 04276531 7 
04256731 04276531 7 
74102536 14702536 7 
14502736 14702536 7 
14206735 14206537 7 
14206573 14206537 7 
13254706 13274506 7 
13207564 13204567 7 
13204765 13204567 7 
72401536 27401536 7 
23401576 27401536 7 
21406735 21406537 7 
21406573 21406537 7 
71524036 21574036 7 
21534076 21574036 7 
21507634 21504637 7 
21504673 21504637 7 
14057236 17054236 7 
13054276 17054236 7 
51024736 51074236 7 
51034276 51074236 7 
70451236 07451236 7 
03451276 07451236 7 
01456732 01456237 7 
01456273 01456237 7 
70251634 07251634 7 
03251674 07251634 7 
71052634 01752634 7 
01652734 01752634 7 
70254613 07254613 7 
04257613 07254613 7 
32170564 72130564 8 
26170534 26130574 8 
26130547 26130574 8 
20734165 20134765 8 
20174365 20134765 8 
27134506 20134576 8 
20174536 20134576 8 
07521364 70521364 8 
50721364 70521364 8 
27561304 20561374 8 
20561347 20561374 8 
27530461 20537461 8 
20735461 20537461 8 
27531406 20531476 8 
20571436 20531476 8 
07351264 70351264 8 
50371264 70351264 8 
37150264 30157264 8 
30154267 30157264 8 
37250461 30257461 8 
30752461 30257461 8 
37251406 30251476 8 
30271456 30251476 8 
23761504 73261504 8 
63271504 73261504 8 
31762504 31267504 8 
31264507 31267504 8 
37260541 30267541 8 
30762541 30267541 8 
30761245 30261745 8 
30271645 30261745 8 
61702534 61207534 8 
61204537 61207534 8 
63201547 63201574 8 
27106534 26107534 8 
26104537 26107534 8 
26571034 26501734 8 
26501437 26501734 8 
67051234 76051234 8 
56071234 76051234 8 
07156234 06157234 8 
06154237 06157234 8 
07256431 06257431 8 
06752431 06257431 8 
07251463 06251473 8 
06271453 06251473 8 
20736541 70236541 8 
30276541 70236541 8 
67032541 76032541 8 
36072541 76032541 8 
06572341 06532741 8 
06532147 06532741 8 
67031245 76031245 8 
36071245 76031245 8 
07136245 06137245 8 
06135247 06137245 8 
67201345 76201345 8 
26701345 76201345 8 
07241365 06241375 8 
06241357 06241375 8 
12570364 12530764 8 
12530467 12530764 8 
12734065 12034765 8 
12074365 12034765 8 
17034526 12034576 8 
12074536 12034576 8 
67012534 76012534 8 
06712534 76012534 8 
16752034 16052734 8 
16052437 16052734 8 
17036542 16037542 8 
16730542 16037542 8 
16732045 16032745 8 
16072345 16032745 8 
17352064 71352064 8 
51372064 71352064 8 
37251064 31257064 8 
31254067 31257064 8 
37051462 31057462 8 
31750462 31057462 8 
37052416 31052476 8 
31072456 31052476 8 
03762514 73062514 8 
63072514 73062514 8 
32760514 32067514 8 
32064517 32067514 8 
37061542 31067542 8 
31760542 31067542 8 
31762045 31062745 8 
31072645 31062745 8 
12705364 12507364 8 
12504367 12507364 8 
16572304 16502374 8 
16502347 16502374 8 
57201364 51207364 8 
51204367 51207364 8 
51302467 51302764 8 
50762314 70562314 8 
60572314 70562314 8 
02765314 02567314 8 
02564317 02567314 8 
07561342 01567342 8 
01765342 01567342 8 
01762543 01562743 8 
01572643 01562743 8 
50731462 70531462 8 
30571462 70531462 8 
06571432 06531472 8 
06531427 06531472 8 
17035462 71035462 8 
31075462 71035462 8 
50732416 70532416 8 
30572416 70532416 8 
02735416 02537416 8 
02536417 02537416 8 
17502436 71502436 8 
51702436 71502436 8 
01742536 01542736 8 
01542637 01542736 8 
47130265 74130265 8 
34170265 74130265 8 
14270365 14230765 8 
14230567 14230765 8 
14735062 14035762 8 
14075362 14035762 8 
17035246 14035276 8 
14075236 14035276 8 
67014235 76014235 8 
06714235 76014235 8 
16724035 16024735 8 
16024537 16024735 8 
17036254 16037254 8 
16730254 16037254 8 
16734052 16034752 8 
16074352 16034752 8 
17324065 71324065 8 
37421065 31427065 8 
31425067 31427065 8 
37021564 31027564 8 
31720564 31027564 8 
37024516 31024576 8 
31074526 31024576 8 
03764215 73064215 8 
63074215 73064215 8 
34760215 34067215 8 
34065217 34067215 8 
37061254 31067254 8 
31760254 31067254 8 
31764052 31064752 8 
31074652 31064752 8 
40135267 40137265 8 
40271365 40231765 8 
40231567 40231765 8 
30721465 30421765 8 
30421567 30421765 8 
37461205 30461275 8 
30461257 30461275 8 
67401235 76401235 8 
46701235 76401235 8 
06721435 06421735 8 
06421537 06421735 8 
07436251 06437251 8 
06734251 06437251 8 
06731452 06431752 8 
06471352 06431752 8 
17405362 71405362 8 
41705362 71405362 8 
07465312 01465372 8 
01465327 01465372 8 
40735216 70435216 8 
30475216 70435216 8 
05734216 05437216 8 
05436217 05437216 8 
17405236 71405236 8 
41705236 71405236 8 
01725436 01425736 8 
01425637 01425736 8 
47102365 74102365 8 
04172365 74102365 8 
14372065 14302765 8 
14302567 14302765 8 
14705263 14205763 8 
14275063 14205763 8 
17205346 14205376 8 
14275306 14205376 8 
67214305 76214305 8 
26714305 76214305 8 
16734205 16234705 8 
16234507 16234705 8 
17206354 16207354 8 
16702354 16207354 8 
16704253 16204753 8 
16274053 16204753 8 
42701365 72401365 8 
02471365 72401365 8 
26471305 26401375 8 
26401357 26401375 8 
21705463 21405763 8 
21475063 21405763 8 
27405316 21405376 8 
21475306 21405376 8 
27364015 21364075 8 
21364057 21364075 8 
27301564 21307564 8 
21703564 21307564 8 
27304516 21304576 8 
21374506 21304576 8 
27460315 20467315 8 
20465317 20467315 8 
20374615 20364715 8 
20364517 20364715 8 
60734215 60234715 8 
60234517 60234715 8 
60214357 60214375 8 
47062315 74062315 8 
64072315 74062315 8 
04372615 04362715 8 
04362517 04362715 8 
04765213 04265713 8 
04275613 04265713 8 
07265341 04265371 8 
04275361 04265371 8 
20761354 70261354 8 
60271354 70261354 8 
05271364 05261374 8 
05261347 05261374 8 
17062354 71062354 8 
61072354 71062354 8 
01372654 01362754 8 
01362457 01362754 8 
17064253 71064253 8 
61074253 71064253 8 
07461253 01467253 8 
01463257 01467253 8 
17204653 71204653 8 
21704653 71204653 8 
42730516 72430516 8 
32470516 72430516 8 
21470536 21430576 8 
21430567 21430576 8 
20736415 20436715 8 
20476315 20436715 8 
27436501 20436571 8 
20476531 20436571 8 
07524316 70524316 8 
50724316 70524316 8 
27514306 20514376 8 
20514367 20514376 8 
27530614 20537614 8 
20735614 20537614 8 
27534601 20534671 8 
20574631 20534671 8 
07354216 70354216 8 
50374216 70354216 8 
37450216 30457216 8 
30456217 30457216 8 
37250614 30257614 8 
30752614 30257614 8 
37254601 30254671 8 
30274651 30254671 8 
23714506 73214506 8 
34712506 34217506 8 
34216507 34217506 8 
37210564 30217564 8 
30712564 30217564 8 
30714265 30214765 8 
30274165 30214765 8 
42036517 42037516 8 
41072536 41032576 8 
41032567 41032576 8 
34752016 34052716 8 
34052617 34052716 8 
37012546 34012576 8 
34012567 34012576 8 
47502316 74502316 8 
54702316 74502316 8 
07512346 04512376 8 
04512367 04512376 8 
07534612 04537612 8 
04735612 04537612 8 
07532641 04532671 8 
04572631 04532671 8 
47036215 74036215 8 
34076215 74036215 8 
07634215 04637215 8 
04635217 04637215 8 
47206315 74206315 8 
24706315 74206315 8 
07216345 04216375 8 
04216357 04216375 8 
47206531 74206531 8 
24706531 74206531 8 
04756231 04256731 8 
04256137 04256731 8 
47102536 74102536 8 
04172536 74102536 8 
14572036 14502736 8 
14502637 14502736 8 
14706235 14206735 8 
14276035 14206735 8 
17206543 14206573 8 
14276503 14206573 8 
13754206 13254706 8 
13254607 13254706 8 
17203564 13207564 8 
13702564 13207564 8 
13704265 13204765 8 
13274065 13204765 8 
42701536 72401536 8 
02471536 72401536 8 
23471506 23401576 8 
23401567 23401576 8 
21706435 21406735 8 
21476035 21406735 8 
27406513 21406573 8 
21476503 21406573 8 
17524036 71524036 8 
51724036 71524036 8 
27534016 21534076 8 
21534067 21534076 8 
27501634 21507634 8 
21705634 21507634 8 
27504613 21504673 8 
21574603 21504673 8 
14750236 14057236 8 
14056237 14057236 8 
13074256 13054276 8 
13054267 13054276 8 
51024637 51024736 8 
57034216 51034276 8 
51034267 51034276 8 
40751236 70451236 8 
50471236 70451236 8 
03471256 03451276 8 
03451267 03451276 8 
01756432 01456732 8 
01476532 01456732 8 
07456213 01456273 8 
01476253 01456273 8 
20751634 70251634 8 
50271634 70251634 8 
03271654 03251674 8 
03251647 03251674 8 
17052634 71052634 8 
51072634 71052634 8 
01672534 01652734 8 
01652437 01652734 8 
20754613 70254613 8 
50274613 70254613 8 
04752613 04257613 8 
04253617 04257613 8 
32150764 32170564 9 
32160574 32170564 9 
76120534 26170534 9 
26150734 26170534 9 
26137540 26130547 9 
26130745 26130547 9 
70234165 20734165 9 
20437165 20734165 9 
70124365 20174365 9 
20164375 20174365 9 
72134506 27134506 9 
24137506 27134506 9 
70124536 20174536 9 
20154736 20174536 9 
01527364 07521364 9 
06521374 07521364 9 
50127364 50721364 9 
50321764 50721364 9 
72561304 27561304 9 
21567304 27561304 9 
20567341 20561347 9 
20561743 20561347 9 
72530461 27530461 9 
26530471 27530461 9 
70235461 20735461 9 
20435761 20735461 9 
72531406 27531406 9 
21537406 27531406 9 
70521436 20571436 9 
20541736 20571436 9 
01357264 07351264 9 
06351274 07351264 9 
50361274 50371264 9 
73150264 37150264 9 
36150274 37150264 9 
30154762 30154267 9 
30154276 30154267 9 
73250461 37250461 9 
36250471 37250461 9 
70352461 30752461 9 
30452761 30752461 9 
73251406 37251406 9 
31257406 37251406 9 
70231456 30271456 9 
30241756 30271456 9 
23167504 23761504 9 
23561704 23761504 9 
63251704 63271504 9 
71362504 31762504 9 
31562704 31762504 9 
31264705 31264507 9 
31264570 31264507 9 
73260541 37260541 9 
34260571 37260541 9 
70362541 30762541 9 
30562741 30762541 9 
70361245 30761245 9 
30167245 30761245 9 
70231645 30271645 9 
30241675 30271645 9 
71602534 61702534 9 
61502734 61702534 9 
61204735 61204537 9 
61204573 61204537 9 
63207541 63201547 9 
63201745 63201547 9 
72106534 27106534 9 
23106574 27106534 9 
26104735 26104537 9 
26104573 26104537 9 
76521034 26571034 9 
26531074 26571034 9 
26507431 26501437 9 
26501473 26501437 9 
61057234 67051234 9 
63051274 67051234 9 
56021734 56071234 9 
56031274 56071234 9 
70156234 07156234 9 
03156274 07156234 9 
06154732 06154237 9 
06154273 06154237 9 
70256431 07256431 9 
03256471 07256431 9 
76052431 06752431 9 
06452731 06752431 9 
70251463 07251463 9 
01257463 07251463 9 
76201453 06271453 9 
06241753 06271453 9 
20637541 20736541 9 
20536741 20736541 9 
30256741 30276541 9 
30246571 30276541 9 
62037541 67032541 9 
64032571 67032541 9 
36052741 36072541 9 
36042571 36072541 9 
76502341 06572341 9 
06542371 06572341 9 
06537142 06532147 9 
06532174 06532147 9 
61037245 67031245 9 
64031275 67031245 9 
36021745 36071245 9 
36041275 36071245 9 
70136245 07136245 9 
04136275 07136245 9 
06135742 06135247 9 
06135274 06135247 9 
61207345 67201345 9 
64201375 67201345 9 
26107345 26701345 9 
26301745 26701345 9 
70241365 07241365 9 
01247365 07241365 9 
06247351 06241357 9 
72510364 12570364 9 
12560374 12570364 9 
12537460 12530467 9 
12530476 12530467 9 
72134065 12734065 9 
12437065 12734065 9 
72014365 12074365 9 
12064375 12074365 9 
71034526 17034526 9 
14037526 17034526 9 
72014536 12074536 9 
12054736 12074536 9 
62017534 67012534 9 
63012574 67012534 9 
06217534 06712534 9 
06512734 06712534 9 
76152034 16752034 9 
16257034 16752034 9 
16057432 16052437 9 
16052473 16052437 9 
71036542 17036542 9 
14036572 17036542 9 
76130542 16730542 9 
16530742 16730542 9 
76132045 16732045 9 
16237045 16732045 9 
76012345 16072345 9 
16042375 16072345 9 
12357064 17352064 9 
16352074 17352064 9 
51362074 51372064 9 
73251064 37251064 9 
36251074 37251064 9 
31254760 31254067 9 
31254076 31254067 9 
73051462 37051462 9 
36051472 37051462 9 
71350462 31750462 9 
31450762 31750462 9 
73052416 37052416 9 
32057416 37052416 9 
71032456 31072456 9 
31042756 31072456 9 
03267514 03762514 9 
03562714 03762514 9 
63052714 63072514 9 
72360514 32760514 9 
32560714 32760514 9 
32064715 32064517 9 
32064571 32064517 9 
73061542 37061542 9 
34061572 37061542 9 
71360542 31760542 9 
31560742 31760542 9 
71362045 31762045 9 
31267045 31762045 9 
71032645 31072645 9 
31042675 31072645 9 
72105364 12705364 9 
12305764 12705364 9 
12504763 12504367 9 
12504376 12504367 9 
76512304 16572304 9 
16532704 16572304 9 
16507342 16502347 9 
16502743 16502347 9 
75201364 57201364 9 
56201374 57201364 9 
51204763 51204367 9 
51204376 51204367 9 
51307462 51302467 9 
51302476 51302467 9 
50267314 50762314 9 
50362714 50762314 9 
60532714 60572314 9 
60512374 60572314 9 
72065314 02765314 9 
02365714 02765314 9 
02564713 02564317 9 
02564371 02564317 9 
70561342 07561342 9 
04561372 07561342 9 
71065342 01765342 9 
01365742 01765342 9 
71062543 01762543 9 
01267543 01762543 9 
71502643 01572643 9 
01542673 01572643 9 
50137462 50731462 9 
50431762 50731462 9 
30541762 30571462 9 
30561472 30571462 9 
76501432 06571432 9 
06541732 06571432 9 
06537421 06531427 9 
06531724 06531427 9 
15037462 17035462 9 
16035472 17035462 9 
31045762 31075462 9 
31065472 31075462 9 
50237416 50732416 9 
50432716 50732416 9 
30542716 30572416 9 
30512476 30572416 9 
72035416 02735416 9 
02435716 02735416 9 
02536714 02536417 9 
02536471 02536417 9 
12507436 17502436 9 
13502476 17502436 9 
51207436 51702436 9 
51402736 51702436 9 
71042536 01742536 9 
01247536 01742536 9 
01547632 01542637 9 
46130275 47130265 9 
34120765 34170265 9 
34160275 34170265 9 
74210365 14270365 9 
14260375 14270365 9 
14237560 14230567 9 
14230576 14230567 9 
74135062 14735062 9 
14537062 14735062 9 
74015362 14075362 9 
14065372 14075362 9 
71035246 17035246 9 
15037246 17035246 9 
74015236 14075236 9 
14025736 14075236 9 
64017235 67014235 9 
63014275 67014235 9 
06417235 06714235 9 
06214735 06714235 9 
76124035 16724035 9 
16427035 16724035 9 
16027534 16024537 9 
16024573 16024537 9 
71036254 17036254 9 
15036274 17036254 9 
76130254 16730254 9 
16230754 16730254 9 
76134052 16734052 9 
16437052 16734052 9 
76014352 16074352 9 
16054372 16074352 9 
14327065 17324065 9 
16324075 17324065 9 
73421065 37421065 9 
36421075 37421065 9 
31425760 31425067 9 
31425076 31425067 9 
73021564 37021564 9 
36021574 37021564 9 
71320564 31720564 9 
31520764 31720564 9 
73024516 37024516 9 
34027516 37024516 9 
31054726 31074526 9 
03467215 03764215 9 
03264715 03764215 9 
63024715 63074215 9 
74360215 34760215 9 
34260715 34760215 9 
34065712 34065217 9 
34065271 34065217 9 
73061254 37061254 9 
35061274 37061254 9 
71360254 31760254 9 
31260754 31760254 9 
71364052 31764052 9 
31467052 31764052 9 
71034652 31074652 9 
31054672 31074652 9 
40135762 40135267 9 
40135276 40135267 9 
40261375 40271365 9 
40237561 40231567 9 
40231576 40231567 9 
70321465 30721465 9 
30127465 30721465 9 
30427561 30421567 9 
30421576 30421567 9 
73461205 37461205 9 
31467205 37461205 9 
30467251 30461257 9 
30461752 30461257 9 
61407235 67401235 9 
63401275 67401235 9 
46107235 46701235 9 
46201735 46701235 9 
76021435 06721435 9 
06127435 06721435 9 
06427531 06421537 9 
06421573 06421537 9 
70436251 07436251 9 
05436271 07436251 9 
76034251 06734251 9 
06234751 06734251 9 
76031452 06731452 9 
06137452 06731452 9 
76401352 06471352 9 
06451372 06471352 9 
15407362 17405362 9 
16405372 17405362 9 
41507362 41705362 9 
41305762 41705362 9 
70465312 07465312 9 
05467312 07465312 9 
01467325 01465327 9 
01465723 01465327 9 
40537216 40735216 9 
40235716 40735216 9 
30425716 30475216 9 
30415276 30475216 9 
75034216 05734216 9 
05234716 05734216 9 
05436712 05436217 9 
15407236 17405236 9 
13405276 17405236 9 
41507236 41705236 9 
41205736 41705236 9 
71025436 01725436 9 
01527436 01725436 9 
01427635 01425637 9 
01425673 01425637 9 
42107365 47102365 9 
46102375 47102365 9 
04132765 04172365 9 
04162375 04172365 9 
74312065 14372065 9 
14362075 14372065 9 
14307562 14302567 9 
14302576 14302567 9 
74105263 14705263 9 
14507263 14705263 9 
74215063 14275063 9 
14265073 14275063 9 
71205346 17205346 9 
15207346 17205346 9 
74215306 14275306 9 
14235706 14275306 9 
64217305 67214305 9 
26417305 26714305 9 
26314705 26714305 9 
76134205 16734205 9 
16437205 16734205 9 
16237504 16234507 9 
16234570 16234507 9 
71206354 17206354 9 
15206374 17206354 9 
76102354 16702354 9 
16302754 16702354 9 
76104253 16704253 9 
16407253 16704253 9 
76214053 16274053 9 
16254073 16274053 9 
42301765 42701365 9 
02431765 02471365 9 
02461375 02471365 9 
76421305 26471305 9 
26431705 26471305 9 
26407351 26401357 9 
26401753 26401357 9 
71205463 21705463 9 
21507463 21705463 9 
71425063 21475063 9 
21465073 21475063 9 
72405316 27405316 9 
25407316 27405316 9 
71425306 21475306 9 
21435706 21475306 9 
72364015 27364015 9 
24367015 27364015 9 
21367054 21364057 9 
21364750 21364057 9 
72301564 27301564 9 
26301574 27301564 9 
71203564 21703564 9 
21503764 21703564 9 
72304516 27304516 9 
24307516 27304516 9 
71324506 21374506 9 
21354706 21374506 9 
72460315 27460315 9 
21460375 27460315 9 
20465713 20465317 9 
20465371 20465317 9 
70324615 20374615 9 
20314675 20374615 9 
20367514 20364517 9 
20364571 20364517 9 
70634215 60734215 9 
60437215 60734215 9 
60237514 60234517 9 
60234571 60234517 9 
60217354 60214357 9 
60214753 60214357 9 
42067315 47062315 9 
41062375 47062315 9 
64032715 64072315 9 
64012375 64072315 9 
74302615 04372615 9 
04312675 04372615 9 
04367512 04362517 9 
04362571 04362517 9 
74065213 04765213 9 
04567213 04765213 9 
74205613 04275613 9 
04215673 04275613 9 
70265341 07265341 9 
05267341 07265341 9 
74205361 04275361 9 
04235761 04275361 9 
20167354 20761354 9 
20361754 20761354 9 
60231754 60271354 9 
60251374 60271354 9 
05231764 05271364 9 
05261743 05261347 9 
12067354 17062354 9 
15062374 17062354 9 
61032754 61072354 9 
61052374 61072354 9 
71302654 01372654 9 
01352674 01372654 9 
01367452 01362457 9 
01362475 01362457 9 
14067253 17064253 9 
15064273 17064253 9 
61024753 61074253 9 
61054273 61074253 9 
70461253 07461253 9 
05461273 07461253 9 
01463752 01463257 9 
01463275 01463257 9 
14207653 17204653 9 
15204673 17204653 9 
21407653 21704653 9 
21604753 21704653 9 
42530716 42730516 9 
32450716 32470516 9 
32410576 32470516 9 
71420536 21470536 9 
21450736 21470536 9 
21437560 21430567 9 
21430765 21430567 9 
70236415 20736415 9 
20637415 20736415 9 
70426315 20476315 9 
20416375 20476315 9 
72436501 27436501 9 
26437501 27436501 9 
70426531 20476531 9 
20456731 20476531 9 
04527316 07524316 9 
01524376 07524316 9 
50427316 50724316 9 
50324716 50724316 9 
72514306 27514306 9 
24517306 27514306 9 
20517364 20514367 9 
20514763 20514367 9 
72530614 27530614 9 
21530674 27530614 9 
70235614 20735614 9 
20635714 20735614 9 
72534601 27534601 9 
24537601 27534601 9 
70524631 20574631 9 
20564731 20574631 9 
04357216 07354216 9 
01354276 07354216 9 
50314276 50374216 9 
73450216 37450216 9 
31450276 37450216 9 
30456712 30456217 9 
30456271 30456217 9 
73250614 37250614 9 
31250674 37250614 9 
70352614 30752614 9 
30652714 30752614 9 
73254601 37254601 9 
34257601 37254601 9 
70234651 30274651 9 
30264751 30274651 9 
23417506 23714506 9 
23514706 23714506 9 
74312506 34712506 9 
34512706 34712506 9 
34216705 34216507 9 
34216570 34216507 9 
73210564 37210564 9 
36210574 37210564 9 
70312564 30712564 9 
30512764 30712564 9 
70314265 30714265 9 
30417265 30714265 9 
30264175 30274165 9 
42036715 42036517 9 
42036571 42036517 9 
41052736 41072536 9 
41037562 41032567 9 
41032765 41032567 9 
74352016 34752016 9 
34257016 34752016 9 
34057612 34052617 9 
34052671 34052617 9 
73012546 37012546 9 
32017546 37012546 9 
34017562 34012567 9 
34012765 34012567 9 
42507316 47502316 9 
41502376 47502316 9 
54207316 54702316 9 
54302716 54702316 9 
70512346 07512346 9 
02517346 07512346 9 
04517362 04512367 9 
04512763 04512367 9 
70534612 07534612 9 
01534672 07534612 9 
74035612 04735612 9 
04635712 04735612 9 
70532641 07532641 9 
02537641 07532641 9 
74502631 04572631 9 
04562731 04572631 9 
46037215 47036215 9 
41036275 47036215 9 
34026715 34076215 9 
34016275 34076215 9 
01634275 07634215 9 
04635271 04635217 9 
46207315 47206315 9 
41206375 47206315 9 
24607315 24706315 9 
